date,sales
2022-01-01,100
2022-02-01,105
2022-03-01,110
2022-04-01,108
2022-05-01,115
2022-06-01,120
2022-07-01,130
2022-08-01,128
2022-09-01,135
2022-10-01,140
2022-11-01,138
2022-12-01,145
2023-01-01,150
2023-02-01,155
2023-03-01,160
2023-04-01,158
2023-05-01,162
2023-06-01,168
2023-07-01,170
2023-08-01,175
2023-09-01,180
2023-10-01,182
2023-11-01,185
2023-12-01,190
2024-01-01,192
2024-02-01,195
2024-03-01,200
2024-04-01,205
2024-05-01,208
2024-06-01,210
2024-07-01,212
2024-08-01,215
2024-09-01,218
2024-10-01,220
2024-11-01,221
2024-12-01,225
